,Create ||1,,
1,"Create","market://details?id=com.flipkart.android",true
2,"Myairtel App","market://details?id=com.flipkart.android",true
3,eCAF,"market://details?id=com.flipkart.android",true
,SelfServe ||2,,
4,"Myairtel App","market://details?id=com.flipkart.android",true
5,eCAF,"market://details?id=com.flipkart.android",true
,FastLane ||3,,
6,"Myairtel App","market://details?id=com.flipkart.android",true
7,eCAF,"market://details?id=com.flipkart.android",true
,Greeter ||4,,
8,"Qudini queue management","market://details?id=com.flipkart.android",true
,airtelTV ||5,,
9,"airtel TV","market://details?id=com.flipkart.android",true
10,"Amazon Prime Video","market://details?id=com.flipkart.android",true
11,"Netflix","market://details?id=com.flipkart.android",true
,WynkMusic ||6,,
12,eCAF,"market://details?id=com.flipkart.android",true
,Hi-5 ||7,,
13,"Hi-5","market://details?id=com.flipkart.android",true
,Consultation Hub ||8,,
14,"Create","market://details?id=com.flipkart.android",true
15,"Myairtel App","market://details?id=com.flipkart.android",true
16,"airtel TV","market://details?id=com.flipkart.android",true
17,eCAF,"market://details?id=com.flipkart.android",true
18,"Wynk Music","market://details?id=com.flipkart.android",true
19,"Amazon Prime Video","market://details?id=com.flipkart.android",true
20,"Netflix",market://details?id=com.flipkart.android,true
21,Ezetap,"market://details?id=com.flipkart.android",true
,Cashier ||9,,
22,"Myairtel App","market://details?id=com.flipkart.android",true
23,eCAF,"market://details?id=com.flipkart.android",true
24,Ezetap,"market://details?id=com.flipkart.android",true
,DigitalOR ||10,,
25,"Myairtel App","market://details?id=com.flipkart.android",true
26,"airtel TV","market://details?id=com.flipkart.android",true
27,eCAF,"market://details?id=com.flipkart.android",true
28,"Amazon Prime Video","market://details?id=com.flipkart.android",true
29,"Netflix","market://details?id=com.flipkart.android",true
,Test ||11,,
30,"Create","market://details?id=com.flipkart.android",true
31,"Hi-5","market://details?id=com.flipkart.android",true
32,"Myairtel App","market://details?id=com.flipkart.android",true
33,"airtel TV","market://details?id=com.flipkart.android",true
34,eCAF,"market://details?id=com.flipkart.android",true
35,"Wynk Music","market://details?id=com.flipkart.android",true
36,"Amazon Prime Video","market://details?id=com.flipkart.android",true
37,"Netflix",market://details?id=com.flipkart.android,true
38,"Qudini queue management","www.Qudini queue management.com",true
39,Ezetap,"market://details?id=com.flipkart.android",true
,Network ||12,,
40,"Network","market://details?id=com.flipkart.android",true
